Site.Code,Spp1,Spp2,Mean.SIF,sd.SIF,lci.SIF,hci.SIF,RHat
CAX,Cuniculus paca,Dasypus kappleri,1.289360368,0.359200967,0.63489034,2.043770402,1.001029627
CAX,Cuniculus paca,Dasypus novemcinctus,0.953771482,0.425391177,0.256183258,1.887304222,1.001069087
CAX,Cuniculus paca,Didelphis marsupialis,1.496079741,0.415906822,0.751541553,2.383906433,1.001052357
CAX,Cuniculus paca,Eira barbara,0.572540938,0.460366988,0.018444812,1.697296407,1.00130271
CAX,Cuniculus paca,Leopardus pardalis,0.551724297,0.419853101,0.019529491,1.528315759,1.001121497
CAX,Cuniculus paca,Leopardus wiedii,2.6129372,0.93825063,1.048551228,4.72402227,1.001073376
CAX,Cuniculus paca,Mazama americana,0.997975755,0.158596675,0.666458313,1.304312802,1.001015637
CAX,Cuniculus paca,Mazama nemorivaga,0.824008049,0.257489615,0.352989288,1.346480325,1.001196057
CAX,Cuniculus paca,Myrmecophaga tridactyla,1.886833123,0.844715607,0.575427756,3.806748119,1.001053153
CAX,Cuniculus paca,Nasua nasua,1.704555426,0.479562016,0.91379485,2.775860591,1.00114945
CAX,Cuniculus paca,Panthera onca,0.947326684,0.374102649,0.293168228,1.780163881,1.00104974
CAX,Cuniculus paca,Pecari tajacu,1.011855544,0.256200783,0.519885516,1.535812398,1.001131278
CAX,Cuniculus paca,Puma concolor,1.062707285,0.453870018,0.303001825,2.074361891,1.001020032
CAX,Cuniculus paca,Tapirus terrestris,1.018269037,0.367289673,0.37856507,1.817253387,1.001486051
CAX,Cuniculus paca,Tayassu pecari,2.604422546,0.935742205,1.056180961,4.709272137,1.002679417
CAX,Dasyprocta leporina,Dasypus kappleri,1.184601073,0.133346796,0.930638156,1.462487613,1.001054685
CAX,Dasyprocta leporina,Dasypus novemcinctus,1.253138224,0.158829723,0.939204142,1.578584929,1.001247412
CAX,Dasyprocta leporina,Didelphis marsupialis,0.992268648,0.149028109,0.691114284,1.27865753,1.001076045
CAX,Dasyprocta leporina,Eira barbara,1.22837841,0.196689304,0.808185799,1.602715878,1.001800694
CAX,Dasyprocta leporina,Leopardus pardalis,1.220582299,0.190613921,0.83452768,1.591750967,1.00136147
CAX,Dasyprocta leporina,Leopardus wiedii,1.193643441,0.212503186,0.727745502,1.582584213,1.001162201
CAX,Dasyprocta leporina,Mazama americana,1.087375121,0.077319586,0.954910351,1.258131129,1.001160134
CAX,Dasyprocta leporina,Mazama nemorivaga,1.132431016,0.109137038,0.928320006,1.361680143,1.00101784
CAX,Dasyprocta leporina,Myrmecophaga tridactyla,1.026351741,0.226085553,0.526964993,1.435547738,1.001054877
CAX,Dasyprocta leporina,Nasua nasua,0.990257451,0.138094488,0.702668329,1.262470451,1.00179457
CAX,Dasyprocta leporina,Panthera onca,1.115276227,0.154671504,0.818660603,1.433612263,1.001148443
CAX,Dasyprocta leporina,Pecari tajacu,1.064973446,0.109045642,0.859647228,1.295862822,1.001023551
CAX,Dasyprocta leporina,Puma concolor,1.076386931,0.175005366,0.714595112,1.41590566,1.001088612
CAX,Dasyprocta leporina,Tapirus terrestris,1.260995317,0.14990139,0.976976832,1.574416274,1.001130747
CAX,Dasyprocta leporina,Tayassu pecari,1.219142731,0.190005036,0.836810481,1.590409943,1.001005459
CAX,Dasypus kappleri,Dasypus novemcinctus,1.096095479,0.346187784,0.477212499,1.825203396,1.001149484
CAX,Dasypus kappleri,Didelphis marsupialis,1.018539034,0.289257339,0.488877479,1.620601887,1.001243347
CAX,Dasypus kappleri,Eira barbara,1.152418636,0.472914968,0.344035028,2.187865723,1.001278611
CAX,Dasypus kappleri,Leopardus pardalis,0.784858635,0.378036029,0.144911106,1.604640246,1.001004872
CAX,Dasypus kappleri,Leopardus wiedii,1.766454135,0.56773591,0.752684818,2.974668106,1.001938109
CAX,Dasypus kappleri,Mazama americana,1.027507356,0.127914041,0.771974394,1.286975061,1.001025138
CAX,Dasypus kappleri,Mazama nemorivaga,1.210004909,0.212884569,0.806130176,1.652136289,1.001013583
